Name,Title,Description,EXPtoUnlock,Icon
TitanCodexV,Titan Codex V,Training focused on maximum battle recovery.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Titan_StatBuff2.Titan_StatBuff2'
TitanCodexVI,Titan Codex VI,Training focused on raw speed.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Titan_StatBuff2.Titan_StatBuff2'
TouchOfFlame,Touch of Flame,"All grenades Ignite enemies, causing damage over time.",0,Texture2D'/Game/ReDestiny/Textures/Subclasses/TouchOfFlame.TouchOfFlame'
Transcendence,Transcendence,"When cast with full grenade and melee energy, Stormtrance restores your health to full and drains slower.",0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Transcendence.Transcendence'
Transfusion,Transfusion,Kills with Storm Fist or Shoulder Charge immediately trigger health regeneration.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Transfusion.Transfusion'
TripleJump,Triple Jump,Upgrades Double Jump with a third jump.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/TripleJump.TripleJump'
TripmineGrenade,Tripmine Grenade,An explosive grenade that sticks to surfaces and detonates when enemies pass through its laser trigger.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/TripmineGrenade.TripmineGrenade'
Unbreakable,Unbreakable,Force Barrier continually recharges.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Unbreakable.Unbreakable'
Unstoppable,Unstoppable,You are harder to kill while using Fist of Havoc.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Unstoppable.Unstoppable'
Untouchable,Untouchable,Reduces the cooldown time of Ward of Dawn.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Untouchable.Untouchable'
Vanish,Vanish,Press   during Arc Blade to disappear from sight.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Vanish.Vanish'
VanishInSmoke,Vanish in Smoke,You and allies near Smoke explosions vanish from sight.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/VanishInSmoke.VanishInSmoke'
VikingFuneral,Viking Funeral,Targets afflicted with Ignite take more damage from all sources. Stacks up to 3 times.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/VikingFuneral.VikingFuneral'
VoidwallGrenade,Voidwall Grenade,A grenade that creates a horizontal wall of burning Void Light.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/VoidwallGrenade.VoidwallGrenade'
Vortex,Vortex,Nova Bomb creates a Vortex which continually damages enemies trapped inside.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Vortex.Vortex'
VortexGrenade,Vortex Grenade,"A grenade that creates a Vortex, continually damaging enemies trapped inside.",0,Texture2D'/Game/ReDestiny/Textures/Subclasses/VortexGrenade.VortexGrenade'
VortexMastery,Vortex Mastery,Increases the range of Axion Bolt seekers and the duration of the Vortex effect of Nova Bomb and Vortex Grenade.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/VortexMastery.VortexMastery'
WardOfDawn,Ward of Dawn,Shape Void Light into an indestructible shield to protect you and your allies.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/WardOfDawn.WardOfDawn'
WarMachine,WarMachine,Shape Void Light into an indestructible shield to protect you and your allies.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/WarMachine.WarMachine'
WayOfTheDrifter,Way of the Drifter,Training focused on all attributes.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Hunter_StatBuff2.Hunter_StatBuff2'
WayOfTheFearless,Way of the Fearless,Training focused on toughness at all costs.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Hunter_StatBuff2.Hunter_StatBuff2'
WayOfTheNomad,Way of the Nomad,Training focused on maximum battle recovery.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Hunter_StatBuff2.Hunter_StatBuff2'
WeaponsOfLight,Weapons of Light,Passing through Ward of Dawn grants you and your allies a temporary increase to weapon damage.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/WeaponsOfLight.WeaponsOfLight'
